timestamp,x,y
1659722106.000,1109.121210,-880.285756
1659722107.000,1110.257938,-879.173807
1659722108.000,1111.225509,-878.095216
1659722109.000,1112.260743,-876.949908
1659722110.000,1113.796678,-876.049230
1659722111.000,1115.136393,-875.348702
1659722112.000,1116.489640,-874.948400
1659722113.000,1117.457212,-873.880928
1659722114.000,1118.248861,-872.846816
1659722115.000,1119.081108,-871.912778
1659722116.000,1120.129874,-871.223370
1659722117.000,1122.092082,-871.156653
1659722118.000,1123.052888,-870.645156
1659722119.000,1123.587420,-869.900150
1659722120.000,1123.323537,-869.277459
1659722121.000,1123.722745,-868.877157
1659722122.000,1124.670018,-867.754088
1659722123.000,1125.509031,-866.341912
1659722124.000,1126.436005,-864.518316
1659722125.000,1127.471239,-862.828153
1659722126.000,1128.533538,-861.393738
1659722127.000,1129.311655,-859.837009
1659722128.000,1129.764993,-858.069010
1659722129.000,1130.076239,-856.423325
1659722130.000,1130.414551,-854.699804
1659722131.000,1130.083006,-852.676056
1659722132.000,1129.068070,-852.698295
1659722133.000,1127.626862,-853.154194
1659722134.000,1126.314213,-853.198672
1659722135.000,1125.238382,-852.709414
1659722136.000,1124.527927,-852.020006
1659722137.000,1124.142252,-851.108208
1659722138.000,1124.818875,-849.996258
1659722139.000,1125.387239,-849.251252
1659722140.000,1125.678187,-848.450649
1659722141.000,1125.312810,-847.449894
1659722142.000,1124.615888,-846.882800
1659722143.000,1123.966329,-845.815329
1659722144.000,1123.567122,-845.392788
1659722145.000,1123.567122,-844.970248
1659722146.000,1123.560355,-844.358675
1659722147.000,1123.729511,-843.691506
1659722148.000,1123.966329,-843.113292
1659722149.000,1123.885135,-842.257091
1659722150.000,1123.891901,-841.534324
1659722151.000,1124.169316,-840.044312
1659722152.000,1123.891901,-838.843407
1659722153.000,1123.519758,-837.686980
1659722154.000,1123.127316,-836.508314
1659722155.000,1122.748407,-835.451962
1659722156.000,1122.308602,-834.562402
1659722157.000,1121.828199,-833.494931
1659722158.000,1121.902628,-832.405221
1659722159.000,1123.005524,-831.938202
1659722160.000,1124.622654,-831.326630
1659722161.000,1125.651122,-830.792894
1659722162.000,1126.422473,-829.758782
1659722163.000,1127.031434,-828.246531
1659722164.000,1127.329148,-826.311739
1659722165.000,1127.484771,-824.643815
1659722166.000,1127.843382,-822.886935
1659722167.000,1128.594434,-821.207892
1659722168.000,1128.953044,-819.462131
1659722169.000,1129.568772,-818.116673
1659722170.000,1129.893551,-816.871290
1659722171.000,1129.839421,-815.536950
1659722172.000,1130.069473,-814.369404
1659722173.000,1130.543110,-813.124021
